Record,Paisaje,Sample,Locality,Successional State,Succession,Plot,LeafLitter.g,LeafLitter/Mg/ha/month,LeafLitter/Mg/ha/month2,Branches.g,Branches/Mg/ha/month,Detritus.g,Detritus/Mg/ha/month,Flowers.g,Flowers/Mg/ha/month,Fruits.g,Fruits/Mg/ha/month,Total.g,Total/Mg/ha/month,Precipitation,Temp.Ave,Temp.Max
302,Mountain,2,Florencia,3,RM,P1,272.51,0.303,3.028,54.44,0.06,135.38,0.15,0.45,0.001,1.6,0.002,467.92,0.52,192.74,24.54,34.92
303,Mountain,3,Florencia,3,RM,P1,540.49,0.601,6.005,68.91,0.077,148.34,0.165,0.5,0.001,0.9575,0.001,766.05,0.851,277.28,24.85,34.44
304,Mountain,4,Florencia,3,RM,P1,374.41,0.416,4.16,48.81,0.054,93.17,0.104,1.45,0.002,6.27,0.007,528.85,0.588,162.81,25.07,34.72
305,Mountain,5,Florencia,3,RM,P1,236.4,0.263,2.627,15.17,0.017,44.33,0.049,0.32,0,3.73,0.004,302.91,0.337,131.31,24.56,33.66
306,Mountain,6,Florencia,3,RM,P1,612.8,0.681,6.809,21.72,0.024,141.29,0.157,0.12,0,19.98,0.022,803.58,0.893,62.86,25.33,34.14
307,Mountain,7,Florencia,3,RM,P1,357.75,0.398,3.975,44.53,0.049,119.75,0.133,4.49,0.005,3.23,0.004,534.31,0.594,229.39,25.01,34.09
308,Mountain,8,Florencia,3,RM,P1,198.14,0.22,2.202,27.43,0.03,147.96,0.164,0.92,0.001,11.2,0.012,388.27,0.431,340.61,23.59,33.26
309,Mountain,9,Florencia,3,RM,P1,219.55,0.244,2.439,33.93,0.038,155.06,0.172,1.81,0.002,24.18,0.027,437.43,0.486,438.75,23.81,34.18
310,Mountain,10,Florencia,3,RM,P1,257.85,0.287,2.865,66.27,0.074,158.38,0.176,12.65,0.014,9.64,0.011,508.21,0.565,451.61,22.5,32.33
311,Mountain,11,Florencia,3,RM,P1,266.72,0.296,2.964,45.14,0.05,80.59,0.09,8.28,0.009,1.51,0.002,405.65,0.451,233.18,22.71,31.23
312,Mountain,12,Florencia,3,RM,P1,270.2,0.3,3.002,151.16,0.168,279.77,0.311,15.84,0.018,72.78,0.081,793.55,0.882,270.06,23.66,31.86
